dataset,baseline_site_sd,residual_sd,variance_explained_pct,r2,n_sites
PSA001_Attractive,0.27102029258389504,0.19749354067293864,46.89906450109868,0.40448156420388376,34
PSA001_Dominant,0.4100515650207256,0.19281487744057962,77.88921641772838,0.7965925982263955,37
Stroop,0.008288343933988754,0.0045319673357238,70.10228391530191,0.7010228391530209,22
