dataset,site,n,mean_beta,sd_beta,mean_sigma,frac_high_precision,frac_responder,predicted,residual
PSA001_Dominant,011,11,0.020090336657070773,0.6221482290542824,0.9933138591454546,0.8181818181818182,0.2727272727272727,0.17243152879833312,-0.15234119214126235
PSA001_Dominant,012,2,0.13056343726904793,0.31207061287694127,0.8232114111291666,1,0.5,0.05028401070421301,0.08027942656483492
PSA001_Dominant,014,6,0.28883857657828954,0.5364747922155493,1.09229924894375,0.8333333333333334,0.5,0.23707190646702114,0.0517666701112684
PSA001_Dominant,015,4,0.299548857902817,0.6457711226075792,1.2533701286916665,0.5,0.5,0.48606341124097874,-0.18651455333816175
PSA001_Dominant,017,5,0.08299119512254774,0.31961725298696,1.0254965252283335,0.8,0.6,0.1840472999844322,-0.10105610486188446
PSA001_Dominant,018,6,-0.16852803539541467,0.32700943965960294,1.521830872525,0.3333333333333333,0.16666666666666666,-0.11411877814168825,-0.05440925725372642
PSA001_Dominant,020,5,0.4065104295032405,0.5679243353774066,1.0235912463691668,0.6,0.6,0.5471097431006986,-0.1405993135974581
PSA001_Dominant,022,1,-0.26550952766933333,NA,0.5909631397333334,1,0,NA,NA
PSA001_Dominant,025,2,0.05165557555357354,0.27052080195152634,1.3392362705625,0,0,0.004314306612698937,0.047341268940874606
PSA001_Dominant,026,1,0.18805905777529583,NA,1.5053331575833333,0,0,NA,NA
PSA001_Dominant,030,2,0.09634891826397968,0.18505964179064904,1.5727543250624998,0,0,-0.1867567958985883,0.28310571416256797
PSA001_Dominant,031,3,2.112873331853825,1.8644086146632943,1.0727886679194445,0.6666666666666666,0.6666666666666666,1.712461110521557,0.40041222133226784
PSA001_Dominant,033,3,-0.3956788469814875,0.27329726994822184,1.0825823355138888,0.6666666666666666,0,-0.3247178072462239,-0.07096103973526358
PSA001_Dominant,036,1,-0.02221453551270958,NA,0.8581621931625,1,0,NA,NA
PSA001_Dominant,038,2,0.09003185523743748,0.6740228837205496,1.3156292122104167,0.5,0.5,0.48141487476607225,-0.39138301952863475
