dataset,person,site,beta_mean,beta_sd,sigma,p_outlier,p_gt0,p_lt0,p_near,p_in_direction,p_opposite_direction,effect_direction,responder,near_zero,opposite,high_precision
Stroop,675392,MichiganStateUniversity,-0.05900201632660425,0.03198852987105417,0.03198852987105417,NA,0.032557035124091804,0.9674429648759082,0.10461329903724237,0.9674429648759082,0.032557035124091804,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675414,MichiganStateUniversity,-0.04842278831959725,0.02918463497475217,0.02918463497475217,NA,0.04853898443084792,0.9514610155691521,0.15552736282419188,0.9514610155691521,0.04853898443084792,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675425,MichiganStateUniversity,-0.067896080937799,0.03416805053434808,0.03416805053434808,NA,0.02345444585668277,0.9765455541433172,0.07544164293610023,0.9765455541433172,0.02345444585668277,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675451,MichiganStateUniversity,-0.0858359946644663,0.03356513745108441,0.03356513745108441,NA,0.0052744692631443435,0.9947255307368557,0.02410628646920776,0.9947255307368557,0.0052744692631443435,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675456,MichiganStateUniversity,-0.04775440114694467,0.03095868336429751,0.03095868336429751,NA,0.06147359030593613,0.9385264096940639,0.17067834799662962,0.9385264096940639,0.06147359030593613,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675464,MichiganStateUniversity,-0.06558894981161523,0.03157169009833856,0.03157169009833856,NA,0.01887952300037732,0.9811204769996227,0.07101738926390411,0.9811204769996227,0.01887952300037732,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675469,MichiganStateUniversity,-0.088108998899075,0.03273639276013446,0.03273639276013446,NA,0.0035569013582066322,0.9964430986417934,0.0182592522930497,0.9964430986417934,0.0035569013582066322,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675482,MichiganStateUniversity,-0.0461256177883,0.03068131237197684,0.03068131237197684,NA,0.06637076564234767,0.9336292343576523,0.1816699896420656,0.9336292343576523,0.06637076564234767,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675515,MichiganStateUniversity,-0.05901959567588975,0.03104753556031789,0.03104753556031789,NA,0.028654738908322153,0.9713452610916778,0.09895649310301569,0.9713452610916778,0.028654738908322153,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675528,MichiganStateUniversity,-0.072384166942045,0.0349164561987287,0.0349164561987287,NA,0.019083003876800397,0.9809169961231996,0.06269789599576647,0.9809169961231996,0.019083003876800397,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675554,MichiganStateUniversity,-0.077476165072087,0.03458520393702044,0.03458520393702044,NA,0.01254048018179843,0.9874595198182016,0.04585635454123593,0.9874595198182016,0.01254048018179843,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675556,MichiganStateUniversity,-0.04236833829876303,0.03268520945383657,0.03268520945383657,NA,0.0974439701341504,0.9025560298658496,0.21868920663481373,0.9025560298658496,0.0974439701341504,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675569,MichiganStateUniversity,-0.0509874468321236,0.03270717786748726,0.03270717786748726,NA,0.059509202793689986,0.94049079720631,0.1567237817869005,0.94049079720631,0.059509202793689986,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675570,MichiganStateUniversity,-0.06688570920668775,0.03309481035562894,0.03309481035562894,NA,0.021638166194674957,0.978361833805325,0.07395613957611935,0.978361833805325,0.021638166194674957,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675585,MichiganStateUniversity,-0.069164307409055,0.03239728980904093,0.03239728980904093,NA,0.016385430223620046,0.98361456977638,0.06160503540060225,0.98361456977638,0.016385430223620046,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675602,MichiganStateUniversity,-0.05551990383486375,0.03332408274357813,0.03332408274357813,NA,0.04785078442962809,0.9521492155703719,0.1315172513542081,0.9521492155703719,0.04785078442962809,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675603,MichiganStateUniversity,-0.0681238206414775,0.03207532596087726,0.03207532596087726,NA,0.016840510286691313,0.9831594897133087,0.06376000362616874,0.9831594897133087,0.016840510286691313,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675610,MichiganStateUniversity,-0.0448564219450725,0.0319637141989236,0.0319637141989236,NA,0.08025557792020277,0.9197444220797972,0.1971632818461191,0.9197444220797972,0.08025557792020277,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675614,MichiganStateUniversity,-0.0605417059744455,0.02896088990807822,0.02896088990807822,NA,0.018288056773899886,0.9817119432261001,0.07806579911608902,0.9817119432261001,0.018288056773899886,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675616,MichiganStateUniversity,-0.061390131460305,0.03340058917159101,0.03340058917159101,NA,0.03303153670656489,0.9669684632934351,0.10022585124136385,0.9669684632934351,0.03303153670656489,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675618,MichiganStateUniversity,-0.0622572546893175,0.03382708142141818,0.03382708142141818,NA,0.032850659789408154,0.9671493402105918,0.09827934428126361,0.9671493402105918,0.032850659789408154,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675673,MichiganStateUniversity,-0.02702192514401125,0.03095482813072143,0.03095482813072143,NA,0.19134597636422446,0.8086540236357755,0.34589744031488334,0.8086540236357755,0.19134597636422446,-1,FALSE,FALSE,FALSE,TRUE
Stroop,675678,MichiganStateUniversity,-0.0601743020037275,0.02870131473894719,0.02870131473894719,NA,0.018015849384978244,0.9819841506150218,0.07818814983762146,0.9819841506150218,0.018015849384978244,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675689,MichiganStateUniversity,-0.05069352601258925,0.03233835225125638,0.03233835225125638,NA,0.058487526773560394,0.9415124732264396,0.15686980695268926,0.9415124732264396,0.058487526773560394,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675713,MichiganStateUniversity,-0.0696890509701975,0.03134273633592327,0.03134273633592327,NA,0.013092688543084652,0.9869073114569153,0.05433615946065751,0.9869073114569153,0.013092688543084652,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675724,MichiganStateUniversity,-0.05925702748263398,0.03017585029257694,0.03017585029257694,NA,0.024781080736870464,0.9752189192631295,0.09232584051288717,0.9752189192631295,0.024781080736870464,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675762,MichiganStateUniversity,-0.05812725078929257,0.03186686074042905,0.03186686074042905,NA,0.03407106266887838,0.9659289373311216,0.10864999979353596,0.9659289373311216,0.03407106266887838,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675771,MichiganStateUniversity,-0.0680501442516945,0.0335037945779203,0.0335037945779203,NA,0.0211215371546134,0.9788784628453866,0.07146823996674345,0.9788784628453866,0.0211215371546134,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675778,MichiganStateUniversity,-0.06826814702728325,0.03302240972759413,0.03302240972759413,NA,0.019351636249516968,0.980648363750483,0.06815559442279329,0.980648363750483,0.019351636249516968,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675783,MichiganStateUniversity,-0.06690440054497825,0.02973083397491448,0.02973083397491448,NA,0.012213775315275344,0.9877862246847247,0.05559159479234255,0.9877862246847247,0.012213775315275344,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675784,MichiganStateUniversity,-0.0914201708339675,0.03437703059208111,0.03437703059208111,NA,0.003914709484115653,0.9960852905158843,0.018279883715464074,0.9960852905158843,0.003914709484115653,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675785,MichiganStateUniversity,-0.079280473714045,0.035024619810189,0.035024619810189,NA,0.011800467495659661,0.9881995325043403,0.04297757287851811,0.9881995325043403,0.011800467495659661,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675887,MichiganStateUniversity,-0.06246932314242025,0.03285776043514776,0.03285776043514776,NA,0.028637613676447016,0.971362386323553,0.09205004600980904,0.971362386323553,0.028637613676447016,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675897,MichiganStateUniversity,-0.0767341781953105,0.03437875478702686,0.03437875478702686,NA,0.012806714889374238,0.9871932851106258,0.04699585701504183,0.9871932851106258,0.012806714889374238,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675904,MichiganStateUniversity,-0.03794757014067392,0.03237348438147667,0.03237348438147667,NA,0.12056227902891903,0.879437720971081,0.25292626696677134,0.879437720971081,0.12056227902891903,-1,FALSE,FALSE,FALSE,TRUE
Stroop,675911,MichiganStateUniversity,-0.075264440349305,0.034294834795098,0.034294834795098,NA,0.014095109347379897,0.9859048906526201,0.05080439319494057,0.9859048906526201,0.014095109347379897,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675914,MichiganStateUniversity,-0.05193698878275325,0.0319671266740324,0.0319671266740324,NA,0.052113255104207945,0.947886744895792,0.1466698850217235,0.947886744895792,0.052113255104207945,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675921,MichiganStateUniversity,-0.0826998283283125,0.03341433420218025,0.03341433420218025,NA,0.006662170993900096,0.9933378290060999,0.029240055889420802,0.9933378290060999,0.006662170993900096,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675922,MichiganStateUniversity,-0.0798454877596225,0.03191221948778178,0.03191221948778178,NA,0.006174087112290283,0.9938259128877097,0.02949690332228605,0.9938259128877097,0.006174087112290283,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675933,MichiganStateUniversity,-0.05412918258163175,0.03061028529438675,0.03061028529438675,NA,0.0385026115595809,0.9614973884404191,0.12471033729889047,0.9614973884404191,0.0385026115595809,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675954,MichiganStateUniversity,-0.06972187024554274,0.03441186196463413,0.03441186196463413,NA,0.021377273939075514,0.9786227260609245,0.06967925360957716,0.9786227260609245,0.021377273939075514,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675955,MichiganStateUniversity,-0.0732913030223725,0.03457108373396789,0.03457108373396789,NA,0.017002284129507328,0.9829977158704927,0.05811538722711207,0.9829977158704927,0.017002284129507328,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675968,MichiganStateUniversity,-0.0754654929950945,0.03321159569773557,0.03321159569773557,NA,0.011535303333012226,0.9884646966669878,0.045429765189920035,0.9884646966669878,0.011535303333012226,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675970,MichiganStateUniversity,-0.0357500140873685,0.02997645751156623,0.02997645751156623,NA,0.11651243911730491,0.8834875608826951,0.26819074354167716,0.8834875608826951,0.11651243911730491,-1,FALSE,FALSE,FALSE,TRUE
Stroop,675971,MichiganStateUniversity,-0.05882567226790275,0.03096533023610257,0.03096533023610257,NA,0.028734481068501405,0.9712655189314986,0.0994951408454321,0.9712655189314986,0.028734481068501405,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675982,MichiganStateUniversity,-0.06482433651973725,0.03236039856894025,0.03236039856894025,NA,0.02257793587112844,0.9774220641288716,0.07862120024201902,0.9774220641288716,0.02257793587112844,-1,TRUE,FALSE,FALSE,TRUE
