dataset,n,responders,near_zero,opposite,direction_uncertain,high_precision,responders_pct,near_zero_pct,opposite_pct,direction_uncertain_pct,high_precision_pct,effect_direction,mean_sigma,mean_beta
PSA001_Attractive,279,206,0,12,61,139,0.7383512544802867,0,0.043010752688172046,0.21863799283154123,0.4982078853046595,-1,1.2533890835231183,-0.588044219343025
PSA001_Dominant,306,73,0,69,164,153,0.238562091503268,0,0.22549019607843138,0.5359477124183006,0.5,1,1.3036023418174019,0.04144214169560208
Stroop,3337,3286,0,0,51,1668,0.9847168115073419,0,0,0.015283188492658075,0.4998501648186994,-1,0.032811223569619796,-0.07945154817629682
